+------------------------------+-----------+
|             Term             | Frequency |
|           ca711210           |     1     |
|           ca711209           |     1     |
|           ca711208           |     1     |
|           ca711207           |     1     |
|           ca711206           |     1     |
|           ca711205           |     1     |
|           ca711204           |     1     |
|           ca711203           |     1     |
|           ca711202           |     1     |
|           ca711201           |     1     |
|           ca711106           |     1     |
|           ca711105           |     1     |
|           ca711104           |     1     |
|           ca711103           |     1     |
|           ca711102           |     1     |
|           ca711101           |     1     |
|           ca711007           |     1     |
|           ca711006           |     1     |
|           ca711005           |     1     |
|           ca711004           |     1     |
|           ca711003           |     1     |
|           ca711002           |     1     |
|           ca711001           |     1     |
|           ca710908           |     1     |
|           ca710907           |     1     |
|           ca710906           |     1     |
|           ca710905           |     1     |
|           ca710904           |     1     |
|           ca710903           |     1     |
|           ca710902           |     1     |
|           ca710901           |     1     |
|           ca710808           |     1     |
|           ca710807           |     1     |
|           ca710806           |     1     |
|           ca710805           |     1     |
|           ca710804           |     1     |
|           ca710803           |     1     |
|           ca710802           |     1     |
|           ca710711           |     1     |
|           ca710710           |     1     |
|           ca710709           |     1     |
|           ca710708           |     1     |
|           ca710707           |     1     |
|           ca710706           |     1     |
|           ca710705           |     1     |
|           ca710704           |     1     |
|           ca710703           |     1     |
|           ca710702           |     1     |
|           ca710701           |     1     |
|           ca710608           |     1     |
|           ca710607           |     1     |
|           ca710606           |     1     |
|           ca710605           |     1     |
|           ca710604           |     1     |
|           ca710603           |     1     |
|           ca710602           |     1     |
|           ca710601           |     1     |
|           ca710510           |     1     |
|           ca710508           |     1     |
|           ca710507           |     1     |
|           ca710506           |     1     |
|           ca710505           |     1     |
|           ca710504           |     1     |
|           ca710503           |     1     |
|           ca710502           |     1     |
|           ca710501           |     1     |
|           ca710406           |     1     |
|           ca710405           |     1     |
|           ca710404           |     1     |
|           ca710403           |     1     |
|           ca710402           |     1     |
|           ca710401           |     1     |
|           ca710307           |     1     |
|           ca710306           |     1     |
|           ca710305           |     1     |
|           ca710304           |     1     |
|           ca710303           |     1     |
|           ca710302           |     1     |
|           ca710301           |     1     |
|           ca710209           |     1     |
|           ca710208           |     1     |
|           ca710207           |     1     |
|           ca710206           |     1     |
|           ca710205           |     1     |
|           ca710204           |     1     |
|           ca710203           |     1     |
|           ca710202           |     1     |
|           ca710201           |     1     |
|           ca710113           |     1     |
|           ca710112           |     1     |
|           ca710111           |     1     |
|           ca710110           |     1     |
|           ca710109           |     1     |
|           ca710108           |     1     |
|           ca710107           |     1     |
|           ca710106           |     1     |
|           ca710105           |     1     |
|           ca710104           |     1     |
|           ca710103           |     1     |
|           ca710102           |     1     |
|           ca710101           |     1     |
|           ca701215           |     1     |
|           ca701214           |     1     |
|           ca701212           |     1     |
|           ca701211           |     1     |
|           ca701210           |     1     |
|           ca701209           |     1     |
|           ca701208           |     1     |
|           ca701207           |     1     |
|           ca701206           |     1     |
|           ca701205           |     1     |
|           ca701204           |     1     |
|           ca701203           |     1     |
|           ca701202           |     1     |
|           ca701201           |     1     |
|           ca701116           |     1     |
|           ca701115           |     1     |
|           ca701114           |     1     |
|           ca701113           |     1     |
|           ca701112           |     1     |
|           ca701111           |     1     |
|           ca701110           |     1     |
|           ca701108           |     1     |
|           ca701107           |     1     |
|           ca701106           |     1     |
|           ca701105           |     1     |
|           ca701104           |     1     |
|           ca701103           |     1     |
|           ca701102           |     1     |
|           ca701101           |     1     |
|           ca701012           |     1     |
|           ca701011           |     1     |
|           ca701010           |     1     |
|           ca701009           |     1     |
|           ca701008           |     1     |
|           ca701007           |     1     |
|           ca701006           |     1     |
|           ca701005           |     1     |
|           ca701004           |     1     |
|           ca701003           |     1     |
|           ca701002           |     1     |
|           ca701001           |     1     |
|           ca700915           |     1     |
|           ca700914           |     1     |
|           ca700913           |     1     |
|           ca700912           |     1     |
|           ca700911           |     1     |
|           ca700910           |     1     |
|           ca700909           |     1     |
|           ca700908           |     1     |
|           ca700907           |     1     |
|           ca700906           |     1     |
|           ca700905           |     1     |
|           ca700904           |     1     |
|           ca700903           |     1     |
|           ca700902           |     1     |
|           ca700901           |     1     |
|           ca700816           |     1     |
|           ca700815           |     1     |
|           ca700814           |     1     |
|           ca700813           |     1     |
|           ca700812           |     1     |
|           ca700811           |     1     |
|           ca700810           |     1     |
|           ca700809           |     1     |
|           ca700808           |     1     |
|           ca700807           |     1     |
|           ca700806           |     1     |
|           ca700805           |     1     |
|           ca700804           |     1     |
|           ca700803           |     1     |
|           ca700802           |     1     |
|           ca700801           |     1     |
|           ca700716           |     1     |
|           ca700715           |     1     |
|           ca700714           |     1     |
|           ca700713           |     1     |
|           ca700712           |     1     |
|           ca700711           |     1     |
|           ca700710           |     1     |
|           ca700709           |     1     |
|           ca700708           |     1     |
|           ca700707           |     1     |
|           ca700706           |     1     |
|           ca700705           |     1     |
|           ca700704           |     1     |
|           ca700703           |     1     |
|           ca700702           |     1     |
|           ca700701           |     1     |
|           ca700618           |     1     |
|           ca700617           |     1     |
|           ca700616           |     1     |
|           ca700615           |     1     |
|           ca700614           |     1     |
|           ca700613           |     1     |
|           ca700612           |     1     |
|           ca700611           |     1     |
|           ca700610           |     1     |
|           ca700609           |     1     |
|           ca700608           |     1     |
|           ca700607           |     1     |
|           ca700606           |     1     |
|           ca700605           |     1     |
|           ca700604           |     1     |
|           ca700603           |     1     |
|           ca700602           |     1     |
|           ca700601           |     1     |
|           ca700511           |     1     |
|           ca700510           |     1     |
|           ca700509           |     1     |
|           ca700508           |     1     |
|           ca700507           |     1     |
|           ca700506           |     1     |
|           ca700505           |     1     |
|           ca700504           |     1     |
|           ca700503           |     1     |
|           ca700502           |     1     |
|           ca700501           |     1     |
|           ca700418           |     1     |
|           ca700417           |     1     |
|           ca700416           |     1     |
|           ca700415           |     1     |
|           ca700414           |     1     |
|           ca700413           |     1     |
|           ca700412           |     1     |
|           ca700411           |     1     |
|           ca700410           |     1     |
|           ca700409           |     1     |
|           ca700408           |     1     |
|           ca700407           |     1     |
|           ca700406           |     1     |
|           ca700405           |     1     |
|           ca700404           |     1     |
|           ca700403           |     1     |
|           ca700402           |     1     |
|           ca700401           |     1     |
|           ca700314           |     1     |
|           ca700313           |     1     |
|           ca700312           |     1     |
|           ca700311           |     1     |
|           ca700310           |     1     |
|           ca700309           |     1     |
|           ca700308           |     1     |
|           ca700307           |     1     |
|           ca700306           |     1     |
|           ca700305           |     1     |
|           ca700304           |     1     |
|           ca700303           |     1     |
|           ca700302           |     1     |
|           ca700301           |     1     |
|           ca700217           |     1     |
|           ca700216           |     1     |
|           ca700215           |     1     |
|           ca700214           |     1     |
|           ca700213           |     1     |
|           ca700212           |     1     |
|           ca700211           |     1     |
|           ca700210           |     1     |
|           ca700209           |     1     |
|           ca700208           |     1     |
|           ca700207           |     1     |
|           ca700206           |     1     |
|           ca700205           |     1     |
|           ca700204           |     1     |
|           ca700203           |     1     |
|           ca700202           |     1     |
|           ca700201           |     1     |
|           ca700116           |     1     |
|           ca700115           |     1     |
|           ca700114           |     1     |
|           ca700113           |     1     |
|           ca700112           |     1     |
|           ca700111           |     1     |
|           ca700110           |     1     |
|           ca700109           |     1     |
|           ca700108           |     1     |
|           ca700107           |     1     |
|           ca700106           |     1     |
|           ca700105           |     1     |
|           ca700104           |     1     |
|           ca700103           |     1     |
|           ca700102           |     1     |
|           ca700101           |     1     |
|           ca691219           |     1     |
|           ca691218           |     1     |
|           ca691217           |     1     |
|           ca691216           |     1     |
|           ca691215           |     1     |
|           ca691214           |     1     |
|           ca691213           |     1     |
|           ca691212           |     1     |
|           ca691211           |     1     |
|           ca691210           |     1     |
|           ca691209           |     1     |
|           ca691208           |     1     |
|           ca691207           |     1     |
|           ca691206           |     1     |
|           ca691205           |     1     |
|           ca691204           |     1     |
|           ca691203           |     1     |
|           ca691202           |     1     |
|           ca691201           |     1     |
|           ca691118           |     1     |
|           ca691115           |     1     |
|           ca691114           |     1     |
|           ca691113           |     1     |
|           ca691112           |     1     |
|           ca691111           |     1     |
|           ca691110           |     1     |
|           ca691109           |     1     |
|           ca691108           |     1     |
|           ca691107           |     1     |
|           ca691106           |     1     |
|           ca691105           |     1     |
|           ca691104           |     1     |
|           ca691103           |     1     |
|           ca691102           |     1     |
|           ca691101           |     1     |
|           ca691016           |     1     |
|           ca691015           |     1     |
|           ca691014           |     1     |
|           ca691013           |     1     |
|           ca691012           |     1     |
|           ca691011           |     1     |
|           ca691010           |     1     |
|           ca691009           |     1     |
|           ca691008           |     1     |
|           ca691007           |     1     |
|           ca691006           |     1     |
|           ca691005           |     1     |
|           ca691004           |     1     |
|           ca691003           |     1     |
|           ca691002           |     1     |
|           ca691001           |     1     |
|           ca690910           |     1     |
|           ca690909           |     1     |
|           ca690907           |     1     |
|           ca690906           |     1     |
|           ca690905           |     1     |
|           ca690904           |     1     |
|           ca690903           |     1     |
|           ca690902           |     1     |
|           ca690901           |     1     |
|           ca690808           |     1     |
|           ca690807           |     1     |
|           ca690806           |     1     |
|           ca690805           |     1     |
|           ca690804           |     1     |
|           ca690803           |     1     |
|           ca690802           |     1     |
|           ca690801           |     1     |
|           ca690717           |     1     |
|           ca690716           |     1     |
|           ca690715           |     1     |
|           ca690714           |     1     |
|           ca690713           |     1     |
|           ca690712           |     1     |
|           ca690711           |     1     |
|           ca690710           |     1     |
|           ca690709           |     1     |
|           ca690708           |     1     |
|           ca690707           |     1     |
|           ca690706           |     1     |
|           ca690705           |     1     |
|           ca690704           |     1     |
|           ca690703           |     1     |
|           ca690702           |     1     |
|           ca690701           |     1     |
|           ca690613           |     1     |
|           ca690612           |     1     |
|           ca690611           |     1     |
|           ca690610           |     1     |
|           ca690609           |     1     |
|           ca690608           |     1     |
|          ca690607jb          |     1     |
|           ca690606           |     1     |
|           ca690605           |     1     |
|           ca690604           |     1     |
|           ca690603           |     1     |
|           ca690602           |     1     |
|           ca690601           |     1     |
|           ca690517           |     1     |
|           ca690516           |     1     |
|           ca690514           |     1     |
|           ca690513           |     1     |
|           ca690512           |     1     |
|           ca690511           |     1     |
|           ca690510           |     1     |
|           ca690509           |     1     |
|           ca690508           |     1     |
|           ca690507           |     1     |
|           ca690506           |     1     |
|           ca690505           |     1     |
|           ca690504           |     1     |
|           ca690503           |     1     |
|           ca690502           |     1     |
|           ca690501           |     1     |
|           ca690408           |     1     |
|           ca690407           |     1     |
|           ca690406           |     1     |
|           ca690405           |     1     |
|           ca690404           |     1     |
|           ca690403           |     1     |
|           ca690402           |     1     |
|           ca690401           |     1     |
|           ca690310           |     1     |
|           ca690309           |     1     |
|           ca690308           |     1     |
|           ca690307           |     1     |
|           ca690306           |     1     |
|           ca690305           |     1     |
|           ca690304           |     1     |
|           ca690303           |     1     |
|           ca690302           |     1     |
|           ca690301           |     1     |
|           ca690211           |     1     |
|           ca690210           |     1     |
|           ca690209           |     1     |
|           ca690208           |     1     |
|           ca690207           |     1     |
|           ca690206           |     1     |
|           ca690205           |     1     |
|           ca690204           |     1     |
|           ca690203           |     1     |
|           ca690202           |     1     |
|           ca690201           |     1     |
|           ca690111           |     1     |
|           ca690110           |     1     |
|           ca690109           |     1     |
|           ca690108           |     1     |
|           ca690107           |     1     |
|           ca690106           |     1     |
|           ca690105           |     1     |
|           ca690104           |     1     |
|           ca690103           |     1     |
|           ca690102           |     1     |
|           ca690101           |     1     |
|           ca681211           |     1     |
|           ca681210           |     1     |
|           ca681209           |     1     |
|           ca681208           |     1     |
|           ca681207           |     1     |
|           ca681206           |     1     |
|           ca681205           |     1     |
|           ca681204           |     1     |
|           ca681203           |     1     |
|           ca681202           |     1     |
|           ca681201           |     1     |
|           ca681113           |     1     |
|           ca681112           |     1     |
|           ca681111           |     1     |
|           ca681110           |     1     |
|           ca681109           |     1     |
|           ca681108           |     1     |
|           ca681107           |     1     |
|           ca681106           |     1     |
|           ca681105           |     1     |
|           ca681104           |     1     |
|           ca681103           |     1     |
|           ca681102           |     1     |
|           ca681101           |     1     |
|           ca681008           |     1     |
|           ca681007           |     1     |
|           ca681006           |     1     |
|           ca681005           |     1     |
|           ca681004           |     1     |
|           ca681003           |     1     |
|           ca681002           |     1     |
|           ca681001           |     1     |
|           ca680914           |     1     |
|           ca680913           |     1     |
|           ca680912           |     1     |
|           ca680911           |     1     |
|           ca680910           |     1     |
|           ca680909           |     1     |
|           ca680908           |     1     |
|           ca680907           |     1     |
|           ca680906           |     1     |
|           ca680905           |     1     |
|           ca680904           |     1     |
|           ca680903           |     1     |
|           ca680902           |     1     |
|           ca680901           |     1     |
|           ca680813           |     1     |
|           ca680812           |     1     |
|           ca680811           |     1     |
|           ca680810           |     1     |
|           ca680809           |     1     |
|           ca680808           |     1     |
|           ca680807           |     1     |
|           ca680806           |     1     |
|           ca680805           |     1     |
|           ca680804           |     1     |
|           ca680803           |     1     |
|           ca680802           |     1     |
|           ca680801           |     1     |
|           ca680715           |     1     |
|           ca680714           |     1     |
|           ca680713           |     1     |
|           ca680712           |     1     |
|           ca680711           |     1     |
|           ca680710           |     1     |
|           ca680709           |     1     |
|           ca680708           |     1     |
|           ca680707           |     1     |
|           ca680706           |     1     |
|           ca680705           |     1     |
|           ca680704           |     1     |
|           ca680703           |     1     |
|           ca680702           |     1     |
|           ca680701           |     1     |
|           ca680617           |     1     |
|           ca680616           |     1     |
|           ca680615           |     1     |
|           ca680614           |     1     |
|           ca680613           |     1     |
|           ca680612           |     1     |
|           ca680611           |     1     |
|           ca680610           |     1     |
|           ca680609           |     1     |
|           ca680608           |     1     |
|           ca680607           |     1     |
|           ca680606           |     1     |
|           ca680605           |     1     |
|           ca680604           |     1     |
|           ca680603           |     1     |
|           ca680602           |     1     |
|           ca680601           |     1     |
|           ca680511           |     1     |
|           ca680510           |     1     |
|           ca680509           |     1     |
|           ca680508           |     1     |
|           ca680507           |     1     |
|           ca680506           |     1     |
|           ca680505           |     1     |
|           ca680504           |     1     |
|           ca680503           |     1     |
|           ca680502           |     1     |
|           ca680501           |     1     |
|           ca680414           |     1     |
|           ca680413           |     1     |
|           ca680412           |     1     |
|           ca680411           |     1     |
|           ca680410           |     1     |
|           ca680409           |     1     |
|           ca680408           |     1     |
|           ca680407           |     1     |
|           ca680406           |     1     |
|           ca680405           |     1     |
|           ca680404           |     1     |
|           ca680403           |     1     |
|           ca680402           |     1     |
|           ca680401           |     1     |
|           ca680303           |     1     |
|           ca680302           |     1     |
|           ca680301           |     1     |
|           ca680210           |     1     |
|           ca680209           |     1     |
|           ca680208           |     1     |
|           ca680207           |     1     |
|           ca680206           |     1     |
|           ca680205           |     1     |
|           ca680204           |     1     |
|           ca680203           |     1     |
|           ca680202           |     1     |
|           ca680201           |     1     |
|           ca680112           |     1     |
|           ca680111           |     1     |
|           ca680110           |     1     |
|           ca680109           |     1     |
|           ca680108           |     1     |
|           ca680107           |     1     |
|           ca680106           |     1     |
|           ca680104           |     1     |
|           ca680103           |     1     |
|           ca680102           |     1     |
|           ca680101           |     1     |
|           ca671210           |     1     |
|           ca671209           |     1     |
|          ca671208b           |     1     |
|          ca671208a           |     1     |
|           ca671207           |     1     |
|           ca671206           |     1     |
|           ca671205           |     1     |
|           ca671204           |     1     |
|           ca671203           |     1     |
|           ca671202           |     1     |
|           ca671201           |     1     |
|           ca671109           |     1     |
|           ca671108           |     1     |
|          ca671107d           |     1     |
|          ca671107c           |     1     |
|          ca671107b           |     1     |
|          ca671107a           |     1     |
|           ca671106           |     1     |
|           ca671105           |     1     |
|           ca671104           |     1     |
|           ca671103           |     1     |
|           ca671102           |     1     |
|           ca671101           |     1     |
|          ca671012c           |     1     |
|          ca671012b           |     1     |
|          ca671012a           |     1     |
|           ca671011           |     1     |
|           ca671009           |     1     |
|           ca671008           |     1     |
|           ca671007           |     1     |
|           ca671006           |     1     |
|           ca671005           |     1     |
|           ca671004           |     1     |
|           ca671003           |     1     |
|           ca671002           |     1     |
|           ca671001           |     1     |
|           ca670911           |     1     |
|           ca670910           |     1     |
|           ca670909           |     1     |
|           ca670908           |     1     |
|          ca670907c           |     1     |
|          ca670907b           |     1     |
|          ca670907a           |     1     |
|           ca670906           |     1     |
|           ca670905           |     1     |
|           ca670904           |     1     |
|           ca670903           |     1     |
|           ca670902           |     1     |
|           ca670901           |     1     |
|           ca670809           |     1     |
|           ca670808           |     1     |
|           ca670807           |     1     |
|           ca670806           |     1     |
|           ca670805           |     1     |
|           ca670804           |     1     |
|           ca670803           |     1     |
|           ca670802           |     1     |
|           ca670801           |     1     |
|          ca670711h           |     1     |
|          ca670711g           |     1     |
|          ca670711f           |     1     |
|          ca670711e           |     1     |
|          ca670711d           |     1     |
|          ca670711c           |     1     |
|          ca670711b           |     1     |
|          ca670711a           |     1     |
|           ca670710           |     1     |
|           ca670709           |     1     |
|           ca670708           |     1     |
|           ca670707           |     1     |
|           ca670706           |     1     |
|           ca670705           |     1     |
|           ca670704           |     1     |
|           ca670703           |     1     |
|           ca670702           |     1     |
|           ca670701           |     1     |
|          ca670607m           |     1     |
|          ca670607l           |     1     |
|          ca670607k           |     1     |
|          ca670607j           |     1     |
|          ca670607i           |     1     |
|          ca670607h           |     1     |
|          ca670607g           |     1     |
|          ca670607f           |     1     |
|          ca670607e           |     1     |
|          ca670607d           |     1     |
|          ca670607c           |     1     |
|          ca670607b           |     1     |
|          ca670607a           |     1     |
|           ca670606           |     1     |
|           ca670605           |     1     |
|           ca670604           |     1     |
|           ca670603           |     1     |
|           ca670602           |     1     |
|           ca670601           |     1     |
|           ca670510           |     1     |
|           ca670509           |     1     |
|           ca670508           |     1     |
|           ca670507           |     1     |
|          ca670506e           |     1     |
|          ca670506d           |     1     |
|          ca670506c           |     1     |
|          ca670506b           |     1     |
|          ca670506a           |     1     |
|           ca670505           |     1     |
|           ca670504           |     1     |
|           ca670503           |     1     |
|           ca670502           |     1     |
|           ca670501           |     1     |
|          ca670408b           |     1     |
|          ca670408a           |     1     |
|           ca670407           |     1     |
|           ca670406           |     1     |
|           ca670405           |     1     |
|           ca670404           |     1     |
|           ca670403           |     1     |
|           ca670402           |     1     |
|           ca670401           |     1     |
|           ca670313           |     1     |
|           ca670312           |     1     |
|          ca670311b           |     1     |
|          ca670311a           |     1     |
|           ca670310           |     1     |
|           ca670309           |     1     |
|           ca670308           |     1     |
|           ca670307           |     1     |
|           ca670306           |     1     |
|           ca670305           |     1     |
|           ca670304           |     1     |
|           ca670303           |     1     |
|           ca670302           |     1     |
|           ca670301           |     1     |
|           ca670214           |     1     |
|           ca670213           |     1     |
|           ca670212           |     1     |
|           ca670211           |     1     |
|           ca670210           |     1     |
|           ca670209           |     1     |
|           ca670208           |     1     |
|           ca670207           |     1     |
|           ca670206           |     1     |
|           ca670205           |     1     |
|           ca670204           |     1     |
|          ca670203b           |     1     |
|          ca670203a           |     1     |
|           ca670202           |     1     |
|           ca670201           |     1     |
|           ca670112           |     1     |
|           ca670111           |     1     |
|          ca670110jb          |     1     |
|           ca670109           |     1     |
|           ca670108           |     1     |
|           ca670107           |     1     |
|           ca670106           |     1     |
|           ca670105           |     1     |
|           ca670104           |     1     |
|           ca670103           |     1     |
|           ca670102           |     1     |
|           ca670101           |     1     |
|           ca661212           |     1     |
|           ca661211           |     1     |
|           ca661210           |     1     |
|           ca661209           |     1     |
|           ca661208           |     1     |
|          ca661207b           |     1     |
|          ca661207a           |     1     |
|           ca661206           |     1     |
|           ca661205           |     1     |
|           ca661204           |     1     |
|           ca661203           |     1     |
|           ca661202           |     1     |
|           ca661201           |     1     |
|           ca661108           |     1     |
|           ca661107           |     1     |
|           ca661106           |     1     |
|           ca661105           |     1     |
|           ca661104           |     1     |
|          ca661103c           |     1     |
|          ca661103b           |     1     |
|          ca661103a           |     1     |
|           ca661102           |     1     |
|           ca661101           |     1     |
|           ca661007           |     1     |
|           ca661006           |     1     |
|           ca661005           |     1     |
|           ca661004           |     1     |
|           ca661003           |     1     |
|           ca661002           |     1     |
|           ca661001           |     1     |
|           ca660912           |     1     |
|           ca660911           |     1     |
|           ca660910           |     1     |
|          ca660909i           |     1     |
|          ca660909h           |     1     |
|          ca660909g           |     1     |
|          ca660909f           |     1     |
|          ca660909e           |     1     |
|          ca660909d           |     1     |
|          ca660909c           |     1     |
|         ca660909bjb          |     1     |
|          ca660909a           |     1     |
|           ca660908           |     1     |
|           ca660907           |     1     |
|           ca660905           |     1     |
|           ca660904           |     1     |
|           ca660903           |     1     |
|           ca660902           |     1     |
|           ca660901           |     1     |
|           ca660818           |     1     |
|           ca660817           |     1     |
|           ca660816           |     1     |
|           ca660815           |     1     |
|           ca660814           |     1     |
|           ca660813           |     1     |
|           ca660812           |     1     |
|           ca660811           |     1     |
|           ca660810           |     1     |
|           ca660809           |     1     |
|           ca660808           |     1     |
|           ca660807           |     1     |
|           ca660806           |     1     |
|           ca660805           |     1     |
|           ca660804           |     1     |
|           ca660803           |     1     |
|           ca660802           |     1     |
|           ca660801           |     1     |
|          ca660714jb          |     1     |
|           ca660713           |     1     |
|           ca660712           |     1     |
|           ca660711           |     1     |
|           ca660710           |     1     |
|           ca660709           |     1     |
|           ca660708           |     1     |
|          ca660707c           |     1     |
|          ca660707b           |     1     |
|          ca660707a           |     1     |
|           ca660706           |     1     |
|           ca660705           |     1     |
|           ca660704           |     1     |
|           ca660703           |     1     |
|           ca660702           |     1     |
|           ca660701           |     1     |
|           ca660607           |     1     |
|           ca660606           |     1     |
|           ca660605           |     1     |
|           ca660604           |     1     |
|          ca660603b           |     1     |
|          ca660603a           |     1     |
|           ca660602           |     1     |
|           ca660601           |     1     |
|           ca660516           |     1     |
|           ca660515           |     1     |
|           ca660514           |     1     |
|           ca660513           |     1     |
|           ca660512           |     1     |
|           ca660511           |     1     |
|           ca660510           |     1     |
|           ca660509           |     1     |
|           ca660508           |     1     |
|           ca660507           |     1     |
|           ca660506           |     1     |
|           ca660505           |     1     |
|           ca660504           |     1     |
|           ca660503           |     1     |
|           ca660502           |     1     |
|          ca660501b           |     1     |
|          ca660501a           |     1     |
|           ca660411           |     1     |
|           ca660410           |     1     |
|           ca660409           |     1     |
|           ca660408           |     1     |
|           ca660407           |     1     |
|           ca660406           |     1     |
|           ca660405           |     1     |
|           ca660404           |     1     |
|          ca660403g           |     1     |
|          ca660403f           |     1     |
|          ca660403e           |     1     |
|          ca660403d           |     1     |
|          ca660403c           |     1     |
|          ca660403b           |     1     |
|          ca660403a           |     1     |
|           ca660402           |     1     |
|           ca660401           |     1     |
|           ca660319           |     1     |
|           ca660318           |     1     |
|           ca660317           |     1     |
|           ca660316           |     1     |
|           ca660315           |     1     |
|           ca660314           |     1     |
|           ca660313           |     1     |
|           ca660312           |     1     |
|           ca660311           |     1     |
|           ca660310           |     1     |
|           ca660309           |     1     |
|           ca660308           |     1     |
|           ca660307           |     1     |
|           ca660306           |     1     |
|           ca660305           |     1     |
|           ca660304           |     1     |
|           ca660303           |     1     |
|           ca660302           |     1     |
|           ca660301           |     1     |
|           ca660212           |     1     |
|           ca660211           |     1     |
|           ca660210           |     1     |
|           ca660209           |     1     |
|          ca660208jb          |     1     |
|           ca660207           |     1     |
|          ca660206d           |     1     |
|          ca660206c           |     1     |
|          ca660206b           |     1     |
|          ca660206a           |     1     |
|           ca660205           |     1     |
|           ca660204           |     1     |
|           ca660203           |     1     |
|           ca660202           |     1     |
|           ca660201           |     1     |
|           ca660108           |     1     |
|           ca660107           |     1     |
|           ca660106           |     1     |
|           ca660105           |     1     |
|           ca660104           |     1     |
|          ca660103c           |     1     |
|          ca660103b           |     1     |
|          ca660103a           |     1     |
|           ca660102           |     1     |
|           ca660101           |     1     |
|           ca651215           |     1     |
|           ca651214           |     1     |
|           ca651213           |     1     |
|           ca651212           |     1     |
|           ca651211           |     1     |
|           ca651210           |     1     |
|           ca651209           |     1     |
|           ca651208           |     1     |
|           ca651207           |     1     |
|           ca651206           |     1     |
|           ca651205           |     1     |
|           ca651204           |     1     |
|           ca651203           |     1     |
|           ca651202           |     1     |
|           ca651201           |     1     |
|           ca651112           |     1     |
|           ca651111           |     1     |
|           ca651110           |     1     |
|           ca651109           |     1     |
|           ca651108           |     1     |
|           ca651107           |     1     |
|           ca651106           |     1     |
|           ca651105           |     1     |
|           ca651104           |     1     |
|           ca651103           |     1     |
|           ca651102           |     1     |
|           ca651101           |     1     |
|           ca651014           |     1     |
|           ca651013           |     1     |
|           ca651012           |     1     |
|           ca651011           |     1     |
|           ca651010           |     1     |
|           ca651009           |     1     |
|           ca651008           |     1     |
|           ca651007           |     1     |
|           ca651006           |     1     |
|           ca651005           |     1     |
|           ca651004           |     1     |
|           ca651003           |     1     |
|           ca651002           |     1     |
|           ca651001           |     1     |
|           ca650911           |     1     |
|           ca650910           |     1     |
|          ca650907jb          |     1     |
|           ca650906           |     1     |
|           ca650905           |     1     |
|           ca650904           |     1     |
|           ca650903           |     1     |
|           ca650902           |     1     |
|           ca650901           |     1     |
|           ca650818           |     1     |
|           ca650817           |     1     |
|           ca650816           |     1     |
|           ca650815           |     1     |
|           ca650814           |     1     |
|           ca650813           |     1     |
|           ca650812           |     1     |
|           ca650811           |     1     |
|           ca650810           |     1     |
|           ca650809           |     1     |
|           ca650808           |     1     |
|           ca650807           |     1     |
|           ca650806           |     1     |
|           ca650805           |     1     |
|           ca650804           |     1     |
|           ca650803           |     1     |
|           ca650802           |     1     |
|           ca650801           |     1     |
|           ca650711           |     1     |
|           ca650710           |     1     |
|           ca650709           |     1     |
|           ca650708           |     1     |
|           ca650707           |     1     |
|           ca650706           |     1     |
|           ca650705           |     1     |
|           ca650704           |     1     |
|           ca650703           |     1     |
|           ca650702           |     1     |
|           ca650701           |     1     |
|           ca650620           |     1     |
|           ca650619           |     1     |
|           ca650618           |     1     |
|           ca650617           |     1     |
|           ca650616           |     1     |
|           ca650615           |     1     |
|           ca650614           |     1     |
|           ca650613           |     1     |
|           ca650612           |     1     |
|           ca650611           |     1     |
|           ca650610           |     1     |
|           ca650609           |     1     |
|           ca650608           |     1     |
|           ca650607           |     1     |
|           ca650606           |     1     |
|           ca650605           |     1     |
